"sub"	"oe"	"covid_vax_attitude"
533	"My primary motivation in deciding whether or not to take the vaccine was almost entirely based on its efficacy. Anything with 90% efficacy or above was an automatic yes from me, regardless of side effects. Anything less than that does not seem worth it to me, especially with the prevalence of breakthrough infections. I am also young and very healthy, and I know that side effects are just a sliver of what can come with full-blown COVID. I also experienced side effects from all three doses of the vaccine I received, and if anything, I was happy to know that the vaccine was doing its job. Furthermore, when I got COVID myself, I was already double vaccinated, and the symptoms were still pretty bad for me \u2014 I had the sorest throat I had ever had in my life and I lost my voice almost entirely for several days. That really indicated the severity of this virus, and I think that some side effects are a small price to pay to avoid that."	"Pro"
534	"I wasn't willing to get vaccines that could cause death or lifelong problems (like facial paralysis)"	"Pro"
535	"As being a young person with fairly healthy immune system, i care more about the effectiveness of preventing getting covid than other factors"	"Pro"
536	"I wanted to look for high effectiveness and low severe side effects."	"Pro"
537	"I was interested in country  of origin. I wouldn't take any vaccine that originated in china. I also don't believe that a vaccine for covid is needed."	"Anti"
538	"No specific reason. I had 2 vaccines and have experienced heart beat skip since then, so I am not in favor of vaccine"	"Anti"
539	"no"	"Pro"
540	"I was looking at the side effects first."	"Pro"
541	"I just wanted to see the effectiveness and the side effects percentages"	"Neutral"
542	"null"	"Pro"
543	"null"	"Pro"
544	"I would never do a comparison the way information was presented in this experiment.  I would make a table with risks\/benefits of each vaccine and look at them together."	"Pro"
545	"I mainly looked at effectiveness and whether there was a fairly high chance of severe side effects. I would have liked to know how long the side effects last."	"Pro"
546	"didn't search"	"Pro"
547	"Information seeking, I simply attempted to learn the information that was offered."	"Pro"
548	"I was mainly looking at the protection % and where it was made."	"Pro"
549	"null"	"Neutral"
550	"I read the information given in each task carefully and selected options I considered true to me."	"Neutral"
551	"I didn't care for vaccines with side effects that could be fatal. I also leaned towards the higher percentages of effectiveness."	"Pro"
552	"Just what had good ratings and low effects"	"Neutral"
553	"I looked at all the information."	"Pro"
554	"No specific reason. I looked at all the information presented to make my decision."	"Anti"
555	"I chose by their effectiveness and severe adverse reactions."	"Neutral"
556	"I did it based on the percentages and if the pros outweighed the cons. I was looking for high protection effectiveness paired with the lowest chance of dnager."	"Pro"
557	"I tried to get a picture of how much I would be protected from COVID of various levels of severity, and I looked to see how extreme a possible side effect could be, such as facial paralysis."	"Pro"
558	"I looked for the most severe drawbacks and felt less comfortable with those being emphasized and I also looked at the percentages of vaccine effectiveness to make my choices. I'm not sure how I would characterize my search behavior."	"Pro"
559	"I looked at all of the information available before making a decision about anything"	"Pro"
560	"I did not search at all. I had a bad case of covid and received the monoclonal antibodies. I am already on blood thinners so the risk of that side effect is small. I learned all about the vaccines both from my doctor, and my son who is an infectious disease MD"	"Pro"
561	"mostly relied on the percentages and the severity of the side effects."	"Pro"
562	"In general, I didn't pay much attention to the risks and mostly focused on how effective each vaccine was at preventing COVID-19 infection and death. Many of the risks were very uncommon side effects. The only one I remember standing out was the 1-in-10 risk for severe muscle pain, which is NOT the worst side effect possible."	"Pro"
563	"I had an allergic reaction to the first does of moderna covid vaccine.  Lips swelled up..eye lids closes, hives all over body and accompyning a rash with severe itching, scars by the vaccine site of moderna called a covid rash...and was very sickly for 3 weeks...Not more vaccines for me."	"Anti"
564	"No"	"Pro"
565	"I took whatever vaccine I could as soon as I could. Almost all worked effectively and even though the Chinese vaccine was a lot worse if it was my only option I still would have chosen it. I am worried about some potential effects, but I'm always willing to roll the dice"	"Pro"
